title,release_date,runtime,budget,revenue,original_language,rating,num_votes
American History X,1998-10-30,119,20000000,23875127,en,8.5,985948
American Hustle,2013-12-12,138,40000000,251171807,en,7.2,430065
American Made,2017-08-08,115,50000000,133511855,en,7.1,144998
American Pie,1999-07-09,95,11000000,235483004,en,7.0,360981
American Pie 2,2001-08-10,108,30000000,287553595,en,6.4,230854
American Psycho,2000-04-13,102,7000000,34266564,en,7.6,453168
American Reunion,2012-04-04,113,50000000,234989584,en,6.7,196154
American Sniper,2014-12-11,133,58800000,542307423,en,7.3,416374
American Wedding,2003-08-01,103,55000000,231449203,en,6.3,187252
Amores Perros,2000-06-16,154,2000000,20908467,es,8.1,212780
Amélie,2001-04-25,122,10000000,173921954,fr,8.3,672633
An Education,2009-10-29,100,7500000,26096852,en,7.3,125031
Analyze This,1999-03-05,103,80000000,176885658,en,6.7,141042
Anastasia,1997-11-20,94,53000000,139804348,en,7.1,106239
Anchorman 2: The Legend Continues,2013-12-18,119,50000000,173649015,en,6.3,161346
Anchorman: The Legend of Ron Burgundy,2004-07-09,95,26000000,90574188,en,7.2,317048
Angels & Demons,2009-05-13,138,150000000,356613439,en,6.7,260829
Anger Management,2003-04-11,106,75000000,195745823,en,6.2,196591
Animal House,1978-07-27,109,2700000,141000000,en,7.5,107540
Annabelle,2014-10-02,99,6500000,257047661,en,5.4,132102
Annabelle: Creation,2017-08-03,109,15000000,305092201,en,6.5,102359
Annie Hall,1977-04-19,93,4000000,38251425,en,8.0,242282
Annihilation,2018-02-22,115,40000000,43070915,en,6.9,252726
Ant-Man,2015-07-14,117,130000000,519311965,en,7.3,533136
Ant-Man and the Wasp,2018-07-04,119,140000000,622674139,en,7.1,276494
Antichrist,2009-05-18,108,11000000,791867,en,6.6,110647
Antz,1998-10-02,83,60000000,171757863,en,6.5,141899
Any Given Sunday,1999-12-16,157,55000000,100230832,en,6.9,108500
Apocalypse Now,1979-08-15,153,31500000,150000000,en,8.4,571270
Apocalypto,2006-12-07,139,40000000,120175290,en,7.8,277324
Apollo 13,1995-06-30,140,52000000,355237933,en,7.6,254294
Aquaman,2018-12-07,144,160000000,1143689193,en,7.0,325143
Argo,2012-10-11,120,44500000,232324128,en,7.7,550123
Armageddon,1998-07-01,151,140000000,553799566,en,6.7,381286
Army of Darkness,1992-10-09,81,11000000,21502976,en,7.5,156225
Arrival,2016-11-10,116,47000000,203388186,en,7.9,548794
As Good as It Gets,1997-12-19,139,50000000,314178011,en,7.7,262035
Assassin's Creed,2016-12-21,115,125000000,240697856,en,5.7,174441
Atomic Blonde,2017-07-26,115,30000000,95673925,en,6.7,162543
Atonement,2007-08-29,123,30000000,129266061,en,7.8,235680
August Rush,2007-11-21,114,25000000,66122026,en,7.5,100733
Austin Powers in Goldmember,2002-07-26,94,63000000,296655431,en,6.2,188829
Austin Powers: International Man of Mystery,1997-05-02,94,16500000,67683989,en,7.0,212880
Austin Powers: The Spy Who Shagged Me,1999-06-08,95,33000000,312016858,en,6.6,209228
Australia,2008-11-18,165,130000000,49554002,en,6.6,116051
Avatar,2009-12-10,162,237000000,2787965087,en,7.8,1077880
Avengers: Age of Ultron,2015-04-22,141,280000000,1405403694,en,7.3,699587
Avengers: Endgame,2019-04-24,181,356000000,2797800564,en,8.5,666591
Avengers: Infinity War,2018-04-25,149,300000000,2046239637,en,8.5,746986
Babe,1995-07-18,89,30000000,254134910,en,6.7,112058
Babel,2006-09-08,143,25000000,135330182,en,7.4,279236
Baby Driver,2017-06-28,113,34000000,226945087,en,7.6,397134
Back to the Future,1985-07-03,116,19000000,381109762,en,8.5,980546
Back to the Future Part II,1989-11-22,108,40000000,332000000,en,7.8,447482
Back to the Future Part III,1990-05-25,118,40000000,244527583,en,7.4,377239
Bad Boys,1995-04-07,118,19000000,141407024,en,6.9,224021
Bad Boys II,2003-07-18,147,130000000,273339556,en,6.6,218427
Bad Moms,2016-07-28,100,20000000,183936074,en,6.2,107163
Bad Santa,2003-11-26,92,23000000,76488889,en,7.0,130368
Bad Teacher,2011-05-16,92,20000000,216197492,en,5.6,186016
Bad Times at the El Royale,2018-10-04,142,32000000,31882724,en,7.1,112069
Bambi,1942-08-14,70,858000,267447150,en,7.3,123977
Barry Lyndon,1975-11-26,185,11000000,20000000,en,8.1,138744
Barton Fink,1991-08-01,116,9000000,6153939,en,7.7,107483
Basic Instinct,1992-03-20,127,49000000,352927224,en,7.0,162378
Batman,1989-06-23,126,35000000,411348924,en,7.5,323902
Batman & Robin,1997-06-20,125,125000000,238207122,en,3.7,224829
Batman Begins,2005-06-10,140,150000000,374218673,en,8.2,1240911
Batman Forever,1995-06-16,121,100000000,336529144,en,5.4,226607
Batman Returns,1992-06-19,126,80000000,280000000,en,7.0,262002
Batman v Superman: Dawn of Justice,2016-03-23,151,250000000,873260194,en,6.5,596875
Battle Royale,2000-12-16,114,4500000,25000000,ja,7.6,162708
Battle: Los Angeles,2011-03-08,116,70000000,202466756,en,5.7,169613
Battleship,2012-04-11,131,209000000,303025485,en,5.8,229314
Baywatch,2017-05-12,116,69000000,177856751,en,5.5,149069
Beauty and the Beast,1991-11-13,84,25000000,377350553,en,8.0,402077
Beauty and the Beast,2017-03-16,129,160000000,1263521126,en,7.1,253559
Bee Movie,2007-10-28,91,150000000,287594577,en,6.1,133308
Beetlejuice,1988-02-29,92,15000000,73326666,en,7.5,243661
Before Midnight,2013-04-05,109,3000000,11176469,en,7.9,129237
Before Sunrise,1995-01-27,101,2500000,5535405,en,8.1,249358
Before Sunset,2004-02-10,80,2700000,15992615,en,8.0,217922
Begin Again,2013-09-07,104,8000000,63464861,en,7.4,134234
Being John Malkovich,1999-10-29,113,13000000,22863596,en,7.7,295828
Ben-Hur,1959-12-26,212,15000000,146900000,en,8.1,208206
Bend It Like Beckham,2002-04-11,112,3500159,76578641,en,6.6,101101
Beowulf,2007-11-05,115,70000000,195735876,en,6.2,157625
Beverly Hills Cop,1984-01-25,105,15000000,316360478,en,7.3,154123
Beverly Hills Cop II,1987-05-18,100,20000000,299965036,en,6.5,101847
Bicycle Thieves,1948-11-24,89,133000,361712,it,8.3,134554
Big,1988-06-03,104,18000000,151927281,en,7.3,186890
Big Daddy,1999-06-25,93,34200000,234801895,en,6.4,190726
Big Fish,2003-12-25,125,70000000,122919055,en,8.0,398891
Big Hero 6,2014-10-24,102,165000000,657818612,en,7.8,388192
Big Trouble in Little China,1986-05-30,99,25000000,11000000,en,7.3,117104
Bill & Ted's Excellent Adventure,1989-02-17,90,10000000,40485039,en,6.9,104306
Billy Elliot,2000-05-18,110,5000000,109280263,en,7.7,119998
Billy Madison,1995-02-10,89,10000000,26488734,en,6.4,125056
Birdman,2014-08-27,120,18000000,103215094,en,7.7,544952
BlacKkKlansman,2018-07-30,135,15000000,48686605,en,7.5,178732
Black Hawk Down,2001-12-28,145,92000000,172989651,en,7.7,349679
Black Mass,2015-09-04,122,53000000,98837872,en,6.9,160529
Black Panther,2018-02-13,134,200000000,1346739107,en,7.3,564139
Black Swan,2010-12-03,108,13000000,327803731,en,8.0,669148
Blade,1998-08-21,120,45000000,131183530,en,7.1,234177
Blade II,2002-03-22,117,54000000,155010032,en,6.7,192144
Blade Runner,1982-06-25,117,28000000,32868943,en,8.1,654876
Blade Runner 2049,2017-10-04,163,150000000,259239658,en,8.0,413123
Blade: Trinity,2004-12-08,123,65000000,128905366,en,5.9,160191
Blazing Saddles,1974-02-07,93,2600000,119601481,en,7.7,119643
Blended,2014-05-21,117,40000000,123494610,en,6.5,110910
Blood Diamond,2006-12-07,143,100000000,170877916,en,8.0,476034
Blow,2001-04-04,124,53000000,83282296,en,7.6,230303
Blue Is the Warmest Color,2013-10-09,180,4300000,10165694,fr,7.7,129827
Blue Jasmine,2013-07-25,98,18000000,99206215,en,7.3,184432
Blue Valentine,2010-12-16,112,3500000,16566240,en,7.4,175655
Blue Velvet,1986-08-01,120,6000000,8551228,en,7.8,169262
Body of Lies,2008-10-10,128,70000000,113280098,en,7.1,204777
Bohemian Rhapsody,2018-10-24,135,52000000,894027543,en,8.0,408207
Bolt,2008-01-29,98,150000000,309979994,en,6.8,180649
Boogie Nights,1997-10-07,156,15000000,43101594,en,7.9,226746
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,82,18000000,261572744,en,7.3,340037
Bowling for Columbine,2002-10-09,120,4000000,35564473,en,7.9,136792
Boyhood,2014-06-05,165,4000000,44349000,en,7.9,323524
Boyz n the Hood,1991-07-12,112,6500000,57504069,en,7.7,116894
Brave,2012-06-21,93,185000000,538983207,en,7.1,353091
Braveheart,1995-05-24,178,72000000,210000000,en,8.3,918954
Breakfast at Tiffany's,1961-10-06,115,2500000,9500000,en,7.7,156308
Bridesmaids,2011-05-13,125,32500000,288383523,en,6.8,256915
Bridge of Spies,2015-10-15,141,40000000,165478348,en,7.6,272388
Bridge to Terabithia,2007-02-16,96,60000000,137587063,en,7.1,136175
Bridget Jones's Diary,2001-04-13,97,25000000,281929795,en,6.7,214151
Bridget Jones: The Edge of Reason,2004-11-10,108,40000000,262500000,en,6.0,100317
Brokeback Mountain,2005-09-10,134,14000000,178043761,en,7.7,308773
Bronson,2008-10-09,92,230000,2260712,en,7.1,113959
Brooklyn,2015-10-20,111,11000000,62076141,en,7.5,122598
Brothers,2009-01-27,104,26000000,43318349,en,7.1,106276
Bruce Almighty,2003-05-23,101,80000000,484572835,en,6.7,356228
Bumblebee,2018-12-15,114,135000000,465895025,en,6.8,118580
Buried,2010-09-24,94,1987650,19152480,en,7.0,143426
Burn After Reading,2008-09-05,96,37000000,163720069,en,7.0,295860
Burnt,2015-10-02,100,20000000,36606743,en,6.6,100111
Butch Cassidy and the Sundance Kid,1969-09-23,111,6000000,102308889,en,8.0,193664
